à + werkwoord;Om te + werkwoord
internaute;internet-gebruiker, websurfer
introduire;introduceren (nieuw thema, of onderwerp tekst)
ironie/ironique;ironie/ironisch
irrité;geïrriteerd, geërgerd
jalousie;jaloezie, afgunst
Je vis à Paris depuis dix ans.;Ik woon al tien jaar in Parijs.
joueur;spelen
juste;rechtvaardig
l’affaire;de zaak
l’âge;de leeftijd
l’amour;de liefde
l’argent;het geld
L’auteur nous fait preuve de quel sentiment ?;Welk gevoel laat de schrijver hier blijken?
l’avantage;het voordeel
l’avenir;de toekomst
l’avis;de mening
l’effort;de inspanning
l’emploi;de baan
l’enfant;het kind
l’enseignement;het onderwijs
l’entreprise;de onderneming
l’environnement;het milieu (natuurbescherming)
l’époque;het tijdperk
l’esprit;de geest
l’habitant;de inwoner
l’habitude;de gewoonte
l’histoire;de geschiedenis, verhaal
l’objectif;het doel
l’oeuvre;het werk
l’utilité;het nut
la bac(calauréat);het eindexamen
la capitale;de hoofdstad, centrum
la conscience;het bewustzijn
la différence;het verschil
la drogue;de drugs
la formation;de opleiding
la hausse;de stijging
la magasin;de winkel
la maladie;de ziekte
la marque;het merk
la mort;de dood
la naissance;de geboorte
la peur;de angst
la plupart;het merendeel
la preuve;het bewijs
la raison;de reden
la récré (la récréation);de pauze
la retraite;het pensioen
la société;de samenleving
la solution;de oplossing
la toile;het Web
la valeur;de waarde
le / la / les plus;het meest
le banlieue;de voorstad
le besoin;de noodzaak, wat nodig is, wat je nodig hebt
le but;het doel
le cerveau;het brein
le chiffre;het cijfer
le chômage;de werkeloosheid
le coeur;het hart
le collège;+/- de onderbouw (kan vmbo tot vwo zijn)
le combat;het gevecht
le commerce;de handel
le contenu;de inhoud
le défi;de uitdaging
le destin;het lot
le devoir;de plicht
le domaine;het gebied
le gouvernement;de regering
le lieu;de plaats
le logement;de huisvesting
le lycée;bovenbouw havo/vwo
le Maghreb;de Maghreb (Noord-Afrika)
le mannequin;het model
le marché;de markt
le métier;het vak, het beroep
le monde;de wereld
le mot;het woord
le nombre;het aantal
le paradoxe;de tegenstelling
le patrimoine;het erfgoed
le préjugé;het vooroordeel
le quartier;de wijk
le résultat;het resultaat
le signe;het teken
le soir;de avond
le sujet;het onderwerp
légèrement;lichtelijk
les agriculteurs;boeren
les cours;de lessen
les devoirs;het huiswerk
les États-Unis;Verenigde Staten
les frais;de kosten
les jeunes;jongeren
les lettres;de letters, brieven
les moyens;middelen
les notes;de (rapport)cijfers
les Pays-Bas;Nederland
limiter;beperken
loin de;verre van
lorsque;toen, zodra
lutter, la lutte;strijden tegen, het gevecht
maintenant;Nu
mais;maar
malgré;Ondanks
malgré;ondanks
malgré;ondanks
malgré tout;toch
manque, il manque, un manque de;gebrek, er ontbreekt, een gebrek aan
marcher;lopen
mauvais, mal, pire, pis;slecht, erger, ergst (zeer negatief)
méfiance;wantrouwen
meilleur, mieux;beter, best
même;zelfs
Même Pierre dit …;Zelfs Piet zegt …
même si;zelfs als
mentir, mensonge;liegen, leugen
mépris;minachting
milieu favorisé;upper-class families
milieu peu favorisé, populaire;armer milieu, volksmilieu
modérément;matig
moins;minder
moins … que;minder … dan
montrer;tonen (door een voorbeeld te geven)
montrer;tonen
moquerie/moqueur;spot/spottend
moyen;gemiddeld
ne … aucun;geen enkel
ne … guère;nauwelijks
ne … jamais;nooit
ne … pas;niet
ne … pas encore;nog niet
ne … personne;niemand
ne … plus;niet meer
ne … que;slechts, alleen maar
ne … rien;niets
ne cesser de;niet stoppen met (dus het juist wel doen)
ne…jamais;nooit
néanmoins;desalniettemin
négatif/négative;negatief
négliger, négligeable;verwaarlozen, verwaarloosbaar
nombreux;talrijk
notamment;met name
nouveau (m), nouvelle (v);nieuw
nuire, il nuit, il a nui;schaden
Onderzoek, onderwijs en opvoeding;
opposer;afzetten tegen (maar het is niet waar)
or;welnu (als in: welnu, dat is dus niet zo)
ouvrir;openen
par ailleurs;daarentegen
par conséquent;als gevolg
par contre;daarentegen
par exemple;bijvoorbeeld
parce que;Omdat
parfois;soms
pas mal de;best veel
passionné;gepassioneerd, hartstochtelijk
pauvre, la pauvreté;arm, de armoede
pays d’origine;land van herkomst
permettre, j’ai permis;toestaan
persévérance;vasthoudendheid
pessimisme/pessimiste;pessimisme/pessimistisch, somber
petit;klein
peu;weinig
peur;angst
pitié;medelijden
plus … que;meer … dan
plusieurs;verschillende
plutôt;nogal, tamelijk
plutôt;eerder
pour l’instant;nu, momenteel
pour que;Opdat
pourtant;toch
préciser;verduidelijken
préférer;de voorkeur geven aan
prendre;nemen, pakken
prévisible;voorzienbaar
promouvoir;promoten
proposer;voorstellen
propre;eigen
prouver;bewijzen
puis;Toen
puisque;Aangezien
Qu’est-ce que l’auteur veut montrer au premier alinéa?;Wat wil de auteur laten zien met de eerste alinea?
Qu’est-ce que le premier alinéa illustre?;Wat laat de eerste alinea zien?
Qu’est-ce que le premier alinéa nous apprend ?;Wat leer je in de eerste alinea?
Qu’est-ce qui caractérise [persoon] d’après le premier alinéa?;Wat typeert/kenmerkt [persoon] volgens de eerste alinea?
Qu’est-ce qui est décrit au premier alinéa ?;Wat wordt er beschreven in de eerste alinea?
Qu’est-ce qui est vrai d’après le premier alinéa?;Wat is waar volgens de eerste alinea?
Qu’est-ce qui rend le mieux le contenu du premier alinéa ?;Wat geeft het beste de inhoud van de eerste alinea weer?
Qu’est-ce qui ressort du premier alinéa ?;Wat komt naar voren uit de eerste alinea?
quand;Wanneer
quand même;toch
Que dit l’auteur au premier alinéa ?;Wat zegt de auteur in de eerste alinea?
Que peut-on conclure du premier alinéa?;Wat kun je concluderen uit de eerste alinea?
Que peut-on déduire du premier alinéa?;Wat kun je afleiden uit de eerste alinea?
Que peut-on lire au premier alinéa ?;Wat kun je lezen in de eerste alinea?
Quel est l’essentiel du premier alinéa ?;Wat is het belangrijkste uit de eerste alinea?
Quelle est l’attitude de l’auteur ?;Wat is de houding van de schrijver?
quitter;verlaten
rare;zeldzaam
rassurant;geruststellend
réduire, réduit;verminderen, vermindert
réfléchir;nadenken
regarder;kijken
regret;spijt
regretter;betreuren, spijt hebben van
relativiser;relativeren (maar het is niet zo erg)
relativiser;relativeren, afzwakken
remplacer;vervangen
rencontrer;ontmoeten
renforcer;versterken
réparer;herstellen
répéter;herhalen
reprocher;verwijten
reste que;blijft het feit dat
résumer;samenvatten
réussir, réussi(e,s);slagen, geslaagd
riche, enrichir, l’enrichissement, richesse;rijk, verrijken, de verrijking, de rijkdom
ridicule;belachelijk
rien;Niets
sans;zonder
sans que;zonder dat
savoir;weten, kennen
sceptique;sceptisch, je gelooft ’t niet helemaal
SDF, sans domicile fixe, sans abri;daklozen
se plaindre, plaint, plaignent;klagen, klaagt
sècher (les cours);spijbelen
selon;volgens
séparer;scheiden
sérieux;serieus, ernstig
seulement;alleen
sinon;overigens
sinon*;zo niet
sortir;weggaan
souligner;onderstrepen
sous-estimer;onderschatten
souvent;vaak
suivre;volgen
supprimer;weghalen, afschaffen
surtout;vooral
surtout;vooral
tel que;Omdat
tel que (tels, telle, telles);zoals
toujours;altijd, nog steeds
tout en;terwijl
toutefois;toch
transformer;veranderen
très;erg
trop;te
un échec;een mislukking
un peu;een beetje
unique;enige
utiliser;gebruiken
vendu, vendre;verkocht, verkopen
voilà pourquoi;dat is omdat …
